Tentativa,Trial,Execução,Val_MAE,Test_MAE,Val_Loss,Test_Loss,Units1,Units2,Units3,Dropout,Activation,Regularizer,Optimizer,Learning_Rate,Desempenho
1,1,1,0.009099720045924187,0.009057598188519478,0.002983418060466647,0.002946748398244381,256,384,224,0.2,relu,l2,nadam,0.0001,0.009070234745740889
1,1,2,0.008358199149370193,0.008010510355234146,0.0028998777270317078,0.002874809317290783,256,384,224,0.2,relu,l2,nadam,0.0001,0.00811481699347496
1,2,1,0.06478271633386612,0.067598856985569,0.03411922603845596,0.036174412816762924,768,384,128,0.30000000000000004,relu,l1_l2,adam,0.0001,0.06675401479005813
1,2,2,0.06477843225002289,0.06759527325630188,0.034196075052022934,0.03625169396400452,768,384,128,0.30000000000000004,relu,l1_l2,adam,0.0001,0.06675022095441818
1,3,1,0.07042579352855682,0.07319510728120804,0.03814605996012688,0.03877044841647148,512,256,224,0.30000000000000004,silu,l2,rmsprop,0.0001,0.07236431315541267
1,3,2,0.07320155203342438,0.07606499642133713,0.03939374163746834,0.039838757365942,512,256,224,0.30000000000000004,silu,l2,rmsprop,0.0001,0.0752059631049633
1,4,1,0.0733395367860794,0.0764557495713234,0.2831883430480957,0.28491854667663574,512,384,224,0.30000000000000004,silu,l2,sgd,0.0001,0.07552088573575019
1,4,2,0.07634448260068893,0.07933945208787918,0.2824799716472626,0.2846333682537079,512,384,224,0.30000000000000004,silu,l2,sgd,0.0001,0.0784409612417221
1,5,1,0.060825787484645844,0.06359174102544785,10.122674942016602,10.12442684173584,256,320,256,0.2,relu,l1,sgd,0.001,0.06276195496320724
1,5,2,0.06158289685845375,0.06414932012557983,10.131814956665039,10.133310317993164,256,320,256,0.2,relu,l1,sgd,0.001,0.063379393145442
2,1,1,0.0649162009358406,0.06773458421230316,0.047574225813150406,0.04962402209639549,640,128,32,0.30000000000000004,tanh,l1_l2,adam,0.001,0.06688906922936438
2,1,2,0.066368967294693,0.06920921802520752,0.047340258955955505,0.04935328662395477,640,128,32,0.30000000000000004,tanh,l1_l2,adam,0.001,0.06835714280605316
2,2,1,0.06549090147018433,0.06830974668264389,0.06746569275856018,0.0694989487528801,768,320,192,0.30000000000000004,silu,l1_l2,sgd,0.01,0.06746409311890603
2,2,2,0.06641887128353119,0.06926022469997406,0.0674690380692482,0.06948104500770569,768,320,192,0.30000000000000004,silu,l1_l2,sgd,0.01,0.0684078186750412
2,3,1,0.06666131317615509,0.06947176903486252,0.07297540456056595,0.07508167624473572,256,128,160,0.4,silu,l1,adam,0.01,0.06862863227725029
2,3,2,0.06737267225980759,0.0702427551150322,0.07288424670696259,0.07487767934799194,256,128,160,0.4,silu,l1,adam,0.01,0.06938173025846481
2,4,1,0.08010317385196686,0.08294707536697388,0.10867152363061905,0.1109580248594284,384,128,96,0.4,silu,l1,rmsprop,0.01,0.08209390491247176
2,4,2,0.07370035350322723,0.07648832350969315,0.10851256549358368,0.11072075366973877,384,128,96,0.4,silu,l1,rmsprop,0.01,0.07565193250775337
2,5,1,0.06557740271091461,0.06812547147274017,0.43401190638542175,0.4359912574291229,512,128,128,0.4,tanh,l2,sgd,0.0001,0.0673610508441925
2,5,2,0.06695074588060379,0.06969062238931656,0.43359968066215515,0.4355359375476837,512,128,128,0.4,tanh,l2,sgd,0.0001,0.06886865943670273
